Date,Open,High,Low,Close,Adj Close,Volume
1998-06-24,60.793098,62.501701,60.793098,61.940102,22.798773,104186
1998-06-25,62.379398,63.723099,62.379398,63.381199,23.329205,143452
1998-06-26,63.232300,63.232300,61.086300,62.443401,22.984022,51308
1998-06-29,62.501701,63.185501,61.232399,62.892300,23.149265,92668
1998-06-30,63.136799,63.136799,60.060600,60.131302,22.132994,152352
1998-07-01,60.695702,61.036701,59.328098,59.425499,21.873211,194236
1998-07-02,60.305099,61.464500,60.305099,60.597401,22.304558,113086
1998-07-03,61.134998,61.965000,60.744400,61.965000,22.807943,62302
1998-07-06,62.233299,63.088100,60.470299,62.990601,23.185438,118845
1998-07-07,63.183601,64.601799,63.183601,63.820599,23.490946,250255
1998-07-08,64.452797,64.553101,63.439499,63.917999,23.526794,68061
1998-07-09,64.015404,65.188202,63.244701,64.601799,23.778488,266485
1998-07-10,64.455704,65.827103,64.455704,64.796600,23.850191,292139
1998-07-13,65.138496,66.115501,65.138496,65.529099,24.119806,196330
1998-07-14,65.871002,66.066803,65.773598,65.895798,24.254782,176435
1998-07-15,66.164200,66.189003,63.771900,63.771900,23.473019,127222
1998-07-16,63.478699,64.259903,62.746201,62.794899,23.113409,63873
1998-07-17,63.282902,64.532997,63.234200,64.064102,23.580580,108374
1998-07-20,64.211197,65.041100,63.966702,65.041100,23.940184,61255
1998-07-21,65.188202,65.188202,63.478699,63.478699,23.365105,70155
1998-07-22,63.234200,63.527401,62.705101,62.990601,23.185438,152571
1998-07-23,62.931400,63.321999,61.525600,61.649799,22.691927,242679
1998-07-24,61.623100,62.501701,60.939301,62.111099,22.861719,158714
1998-07-27,61.681301,62.346001,60.404400,60.841801,22.394518,158714
1998-07-28,61.965000,61.965000,59.574501,59.767399,21.999054,284662
1998-07-29,59.767399,59.767399,58.937500,59.230701,21.801506,367604
1998-07-30,59.230701,59.572601,59.083599,59.425499,21.873211,215033
1998-07-31,59.572601,60.060600,58.351101,59.425499,21.873211,383987
1998-08-03,58.375999,58.375999,56.760101,57.521198,21.172276,188410
1998-08-04,57.326401,58.400799,57.326401,57.398998,21.127298,168954
1998-08-05,56.056198,56.398102,54.250301,54.689602,20.130032,517103
1998-08-06,55.177601,55.616901,54.250301,54.299000,19.986256,316405
1998-08-07,54.299000,55.958801,53.913101,54.299000,19.986256,227321
1998-08-10,55.391499,55.714298,54.779301,55.568199,20.453426,193529
1998-08-11,54.591202,55.910099,54.007702,54.835701,20.183807,279542
1998-08-12,55.177601,55.665600,53.127102,53.859600,19.824532,314357
1998-08-13,53.273300,53.370701,51.221901,52.198799,19.213219,388083
1998-08-14,52.638199,52.980099,51.221901,51.514999,18.961523,333813
1998-08-17,50.782600,52.535999,50.099701,51.368900,18.907755,175098
1998-08-18,52.492001,53.444199,51.271500,52.638199,19.374958,224248
1998-08-19,52.980099,53.712601,51.759499,53.053600,19.527859,215033
1998-08-20,53.712601,53.712601,52.004002,52.150200,19.195333,145402
1998-08-21,51.514999,52.004002,49.806499,50.294498,18.512291,273399
1998-08-24,51.221901,53.615200,50.685101,52.980099,19.500793,352244
1998-08-25,53.663898,55.419201,52.686901,52.686901,19.392876,312310
1998-08-26,52.401299,52.785198,50.294498,52.785198,19.429054,489456
